model,accuracy,precision_macro,recall_macro,f1_macro,f1_weighted
SVM,0.752,0.7211436847466258,0.7041537409958463,0.7086891371308643,0.7579482663731426
Logistic Regression,0.736,0.7113433441558441,0.6938346740978321,0.6964243011398441,0.7405209922642125
KNN,0.728,0.6972222222222222,0.666912400465032,0.6771308900581992,0.7263553707621819
MLP,0.728,0.6904380341880342,0.6600129402760981,0.6667251709643014,0.7284532580463015
